"년도","월","도로명","평일 평균 교통량(대표구간)","평일 평균 속도","월요일 소통상황","화요일 소통상황","수요일 소통상황","목요일 소통상황","금요일 소통상황","토요일 소통상황","일요일 소통상황(공휴일포함)"
"2014","9","분당수서로","138990","56.60","60.00","56.20","54.90","57.10","54.60","64.00","74.90"
"2014","9","경부고속도로","215821","42.10","44.30","40.90","40.90","42.20","41.70","48.40","59.00"
"2014","9","서부간선도로","118150","34.60","35.00","34.50","34.20","36.20","33.30","38.30","49.10"
"2014","8","내부순환로","167187","58.80","63.60","60.40","57.20","56.70","56.00","64.10","71.10"
"2014","8","강변북로","259042","50.60","56.40","52.80","48.00","48.20","47.40","57.10","65.10"
"2014","8","북부간선도로","113557","53.80","58.00","55.50","52.90","52.80","49.80","49.90","59.60"
"2014","8","올림픽대로","255976","52.90","57.60","54.20","50.20","51.20","51.10","58.10","63.90"
"2014","8","동부간선도로","154078","52.50","55.90","53.00","51.40","50.50","51.70","51.50","61.90"
"2014","8","분당수서로","137592","59.50","65.60","61.10","57.00","55.70","58.20","68.40","74.40"
"2014","8","경부고속도로","213454","40.30","45.60","41.20","38.10","39.60","37.20","48.40","54.90"
"2014","8","서부간선도로","116196","32.40","36.70","34.40","29.60","29.40","31.80","41.00","50.80"
"2014","7","내부순환로","165813","61.20","64.40","61.30","60.90","61.40","58.20","63.20","74.70"
"2014","7","강변북로","261404","53.70","58.00","55.60","52.50","53.30","49.20","58.50","71.20"
"2014","7","북부간선도로","115570","57.20","59.70","58.80","57.80","57.00","52.20","49.00","62.10"
"2014","7","올림픽대로","252436","56.30","59.60","57.50","55.70","55.90","52.50","59.80","70.70"
"2014","7","동부간선도로","154005","53.00","55.00","53.80","51.30","53.80","50.90","50.00","63.60"
"2014","7","분당수서로","137762","61.60","64.90","61.90","61.30","61.20","59.00","67.00","80.30"
"2014","7","경부고속도로","214505","42.70","47.10","42.20","43.00","42.60","38.60","46.60","59.90"
"2014","7","서부간선도로","118288","35.20","37.30","35.30","34.80","36.70","31.40","37.40","54.20"
"2014","6","내부순환로","165146","60.60","65.20","58.70","61.50","59.50","56.20","59.60","74.30"
"2014","6","강변북로","262980","55.40","59.20","52.10","56.50","55.60","52.10","56.40","69.90"
"2014","6","북부간선도로","114189","61.70","64.30","61.30","63.10","61.20","57.10","50.10","63.00"
"2014","6","올림픽대로","252133","58.00","61.20","55.60","58.80","58.00","54.90","57.90","69.80"
"2014","6","동부간선도로","154537","55.00","57.10","55.50","54.80","53.70","52.80","51.90","62.50"
"2014","6","분당수서로","137936","61.60","64.10","58.40","62.50","61.60","60.60","67.50","80.20"
"2014","6","경부고속도로","215006","43.30","47.50","41.90","44.00","41.70","39.50","45.50","58.70"
"2014","6","서부간선도로","119173","36.60","39.20","34.80","37.80","36.30","34.10","39.00","53.20"
"2014","5","내부순환로","159627","63.30","68.30","64.10","65.30","61.90","59.30","58.80","72.40"
"2014","5","강변북로","262398","55.80","60.20","56.50","56.80","55.40","52.00","53.70","67.20"
"2014","5","북부간선도로","114825","63.10","69.40","64.30","65.60","60.70","58.60","50.80","62.50"
"2014","5","올림픽대로","257803","59.60","62.70","59.50","60.70","59.90","56.30","57.00","68.40"
"2014","5","동부간선도로","155910","54.30","57.10","56.30","55.40","53.00","51.90","49.40","61.70"
"2014","5","분당수서로","140213","63.70","67.60","64.60","63.00","63.70","61.10","62.90","78.20"
"2014","5","경부고속도로","216162","46.30","51.90","46.90","46.70","46.30","41.50","44.40","57.70"
"2014","5","서부간선도로","120228","36.90","40.20","38.10","38.30","38.10","32.50","36.00","50.50"
"2014","4","동부간선도로","156417","54.10","53.60","54.00","54.30","55.60","52.90","48.70","62.70"
"2014","4","내부순환로","157660","62.70","63.50","62.80","63.50","63.50","60.00","57.50","71.30"
"2014","4","강변북로","263086","55.50","57.70","56.10","56.10","55.70","51.70","53.00","66.40"
"2014","4","북부간선도로","111343","62.80","63.70","64.90","63.30","63.30","58.10","50.30","66.10"
"2014","4","올림픽대로","260640","59.60","61.60","59.90","60.50","59.60","56.00","56.00","69.20"
"2014","4","분당수서로","139732","62.40","64.20","62.80","62.00","62.70","59.90","68.80","80.10"
"2014","4","경부고속도로","215816","44.30","47.30","45.80","44.60","43.80","39.60","43.00","57.20"
"2014","4","서부간선도로","118371","34.40","35.80","35.50","34.60","35.90","29.90","32.60","49.20"
"2014","3","내부순환로","158683","64.80","65.20","66.50","65.40","65.30","61.30","58.00","70.20"
"2014","3","올림픽대로","254280","61.00","63.30","63.20","60.90","60.40","56.70","57.80","69.40"
"2014","3","동부간선도로","155177","56.70","57.40","59.10","57.60","55.40","53.60","52.20","61.90"
"2014","3","분당수서로","137842","64.90","68.20","66.20","64.60","63.30","61.20","65.90","79.30"
"2014","3","경부고속도로","213965","47.20","51.20","50.10","46.50","45.30","41.70","42.90","55.70"
"2014","3","서부간선도로","119958","37.50","38.80","38.50","38.50","37.40","34.00","35.50","48.60"
"2014","3","강변북로","258328","56.40","58.60","58.60","56.40","56.70","51.10","53.90","66.40"
"2014","3","북부간선도로","112337","67.20","68.80","69.80","68.50","66.10","62.20","57.70","67.60"
"2014","2","강변북로","257628","57.50","63.60","57.40","58.30","57.20","51.30","54.70","72.20"
"2014","2","북부간선도로","111999","69.70","73.60","69.90","72.00","69.00","64.10","56.20","74.20"
"2014","2","올림픽대로","247221","61.30","66.60","61.70","61.70","60.70","55.60","57.90","74.00"
"2014","2","동부간선도로","152613","57.30","61.00","56.50","57.10","57.50","54.40","53.50","67.90"
"2014","2","분당수서로","135812","66.20","71.20","67.50","65.70","65.30","61.10","64.80","81.90"
"2014","2","경부고속도로","210376","45.70","53.70","45.20","44.80","44.90","40.00","44.70","66.00"
"2014","2","내부순환로","159087","64.80","69.80","64.70","64.90","65.60","58.90","59.40","73.10"
"2014","2","서부간선도로","119132","37.80","42.30","38.60","38.60","36.70","32.80","38.10","57.70"
"2014","1","경부고속도로","204810","46.00","48.30","46.00","48.70","45.70","41.50","49.10","62.70"
"2014","1","내부순환로","159206","65.80","65.30","66.50","67.20","66.10","63.80","64.50","69.70"
"2014","1","강변북로","255078","58.70","58.20","59.40","59.90","59.10","56.90","60.50","69.40"
"2014","1","북부간선도로","109150","69.10","69.50","69.00","70.00","70.30","66.70","59.90","70.70"
"2014","1","올림픽대로","243763","61.30","61.30","61.40","62.30","61.90","59.30","62.40","71.40"
"2014","1","동부간선도로","148934","57.10","58.00","56.80","56.90","57.80","56.20","55.70","62.60"
"2014","1","분당수서로","132252","65.10","64.70","64.50","66.90","66.30","63.00","69.00","77.00"
"2014","1","서부간선도로","117746","39.70","40.00","38.60","40.30","41.70","38.10","45.10","53.70"
"2013","12","북부간선도로","104875","65.70","66.90","66.00","67.80","65.10","63.00","57.20","73.20"
"2013","12","올림픽대로","268629","58.80","58.10","58.90","61.10","59.20","57.40","56.90","70.60"
"2013","12","동부간선도로","150569","54.20","53.70","54.50","56.00","55.00","52.50","53.80","63.20"
"2013","12","분당수서고속화도로","132058","62.60","61.00","61.30","66.00","63.40","62.60","62.50","78.40"
"2013","12","경부고속도로","206384","45.10","44.00","44.30","47.80","48.00","42.50","44.30","57.90"
"2013","12","서부간선도로","116349","38.20","38.20","36.30","39.20","41.00","36.80","41.10","54.90"
"2013","12","내부순환로","156674","62.70","61.60","63.90","64.00","62.20","62.10","58.70","71.20"
"2013","12","강변북로","256641","56.70","56.60","56.80","60.70","56.10","54.40","54.30","69.50"
"2013","11","북부간선도로","107539","61.50","61.10","63.50","64.30","63.20","56.60","44.10","60.80"
"2013","11","내부순환로","162526","61.50","61.50","61.20","63.60","62.00","59.60","49.70","60.30"
"2013","11","강변북로","268984","55.50","56.00","56.40","57.10","56.70","52.20","47.60","59.80"
"2013","11","올림픽대로","262516","57.00","58.00","57.90","57.80","57.80","54.00","49.60","60.30"
"2013","11","동부간선도로","155020","54.10","53.40","53.30","55.10","55.80","53.10","45.40","57.20"
"2013","11","분당수서고속화도로","137075","60.90","59.60","60.80","62.10","63.20","59.20","56.20","69.10"
"2013","11","경부고속도로","214533","44.00","45.30","43.50","46.80","45.20","40.40","39.30","46.60"
"2013","11","서부간선도로","116142","35.50","35.40","35.70","37.80","37.00","31.60","29.10","46.10"
"2013","10","북부간선도로","107907","59.70","60.60","63.30","59.60","58.80","61.70","53.60","46.40"
"2013","10","올림픽대로","244790","57.40","65.20","61.30","55.20","58.00","58.10","54.50","50.90"
"2013","10","동부간선도로","153610","54.00","61.10","57.20","52.70","51.80","55.10","53.20","47.10"
"2013","10","분당수서고속화도로","137595","60.80","77.70","64.40","57.90","62.60","60.00","59.60","62.50"
"2013","10","경부고속도로","215524","45.70","55.30","50.60","43.50","46.50","45.60","42.00","41.90"
"2013","10","서부간선도로","102770","35.20","45.40","37.40","34.80","35.90","35.80","32.10","29.60"
"2013","10","강변북로","265364","54.00","61.50","58.80","51.20","54.70","54.80","50.40","46.20"
"2013","10","내부순환로","162295","62.70","69.60","67.20","60.70","62.50","63.20","59.50","55.00"
"2013","9","북부간선도로","108818","60.30","68.00","63.70","58.60","60.70","61.30","55.60","55.70"
"2013","9","올림픽대로","260689","54.30","70.30","58.10","54.60","51.90","54.10","50.30","58.10"
"2013","9","동부간선도로","154150","53.00","62.30","55.30","52.60","54.10","52.40","49.70","52.60"
"2013","9","분당수서고속화도로","138290","58.50","75.90","63.70","57.70","55.70","57.10","54.60","66.60"
"2013","9","경부고속도로","214824","43.90","62.90","49.70","44.10","41.20","40.80","39.70","49.50"
"2013","9","서부간선도로","92463","34.70","51.70","37.30","33.60","34.90","34.00","32.60","40.90"
"2013","9","내부순환로","163623","60.80","74.50","65.70","62.20","57.90","60.40","58.70","63.20"
"2013","9","강변북로","260823","51.60","68.00","56.60","51.30","49.60","49.80","47.20","55.00"
"2013","8","북부간선도로","109875","55.30","61.80","57.20","56.40","55.70","55.80","52.30","48.00"
"2013","8","올림픽대로","243459","55.70","71.30","59.00","56.60","53.60","56.10","53.80","59.00"
"2013","8","동부간선도로","152280","52.50","62.70","54.50","52.50","51.30","52.80","51.60","51.40"
"2013","8","분당수서고속화도로","135121","62.40","81.50","65.60","62.10","59.00","61.50","63.40","68.30"
"2013","8","경부고속도로","212932","43.30","62.40","46.00","44.30","41.00","43.60","41.80","49.00"
"2013","8","서부간선도로","","","","","","","","",""
"2013","8","내부순환로","160912","60.90","74.50","65.70","62.20","57.90","60.40","58.70","63.20"
"2013","8","강변북로","265861","52.10","69.90","56.20","53.10","50.10","51.60","50.00","56.70"
"2013","7","동부간선도로","149577","54.00","62.80","55.80","55.20","56.20","50.40","51.00","50.30"
"2013","7","내부순환로","158187","63.10","74.10","64.90","64.10","65.00","61.20","58.80","61.10"
"2013","7","강변북로","262137","53.10","68.80","54.70","53.20","54.60","52.50","49.90","56.40"
"2013","7","북부간선도로","109270","59.20","61.60","60.90","60.00","63.90","56.40","53.00","47.90"
"2013","7","올림픽대로","238152","56.10","68.00","56.60","56.30","57.90","54.80","53.90","58.10"
"2013","7","분당수서고속화도로","131732","62.50","78.40","62.10","63.00","64.20","61.60","60.80","64.60"
"2013","7","경부고속도로","208833","44.90","59.60","46.50","45.50","46.80","43.40","41.00","47.80"
"2013","7","서부간선도로","","","","","","","","",""
"2013","6","분당수서고속화도로","137297","65.30","82.20","67.70","63.90","63.90","67.10","64.10","70.20"
"2013","6","경부고속도로","215441","46.10","62.50","51.20","45.00","45.20","46.40","43.10","47.30"
"2013","6","북부간선도로","110639","61.10","62.40","63.90","61.80","64.10","60.80","54.60","46.30"
"2013","6","서부간선도로","","","","","","","","",""
"2013","6","내부순환로","161720","63.40","77.50","67.70","62.10","63.50","63.30","60.60","60.70"
"2013","6","강변북로","270437","54.90","70.80","60.30","53.90","54.60","54.70","51.20","55.40"
"2013","6","동부간선도로","153514","54.00","64.20","56.30","53.00","53.50","55.10","52.40","49.80"
"2013","6","올림픽대로","252322","58.70","71.10","62.50","57.80","58.80","58.90","55.50","58.40"
"2013","5","분당수서고속화도로","137413","64.30","80.50","64.80","63.20","65.80","63.00","64.90","67.70"
"2013","5","경부고속도로","214899","45.80","57.90","47.70","46.00","47.80","43.20","44.10","45.30"
"2013","5","서부간선도로","","","","","","","","",""
"2013","5","올림픽대로","242672","59.90","68.50","61.90","60.80","60.70","57.90","57.70","56.60"
"2013","5","북부간선도로","105773","60.20","62.40","61.80","62.00","59.50","59.20","58.10","46.20"
"2013","5","동부간선도로","155177","54.30","63.10","53.20","54.90","54.80","54.70","53.80","48.90"
"2013","5","강변북로","273829","55.40","66.80","58.70","55.70","55.90","53.30","53.20","52.70"
"2013","5","내부순환로","163947","64.40","74.30","66.00","65.10","65.50","63.00","62.10","58.00"
"2013","4","경부고속도로","215348","47.80","58.70","54.20","45.10","49.20","47.50","41.90","41.40"
"2013","4","내부순환로","166259","66.40","76.10","69.90","65.50","67.30","67.70","61.00","55.90"
"2013","4","강변북로","274104","57.50","67.20","62.50","56.40","58.70","57.30","51.40","49.20"
"2013","4","북부간선도로","106334","63.50","67.20","66.00","63.10","66.60","64.10","57.20","48.40"
"2013","4","올림픽대로","236476","62.20","71.20","66.40","60.80","63.60","62.50","57.00","55.00"
"2013","4","동부간선도로","155009","56.30","64.30","59.30","55.50","57.30","56.20","52.40","48.70"
"2013","4","분당수서고속화도로","136743","65.90","82.30","69.90","62.10","67.40","66.60","63.50","64.70"
"2013","4","서부간선도로","","","","","","","","",""
"2013","3","북부간선도로","110066","66.40","66.30","69.10","66.70","68.50","64.00","63.90","52.30"
"2013","3","올림픽대로","239880","65.50","72.60","69.10","66.30","65.20","64.70","62.30","60.00"
"2013","3","동부간선도로","155375","58.20","63.80","60.10","58.20","58.60","57.20","56.80","51.20"
"2013","3","분당수서고속화도로","136704","66.60","81.00","69.00","67.20","67.50","65.00","64.20","68.80"
"2013","3","강변북로","276735","60.00","67.50","63.60","61.60","59.40","58.70","56.50","54.30"
"2013","3","내부순환로","166622","68.80","73.70","71.20","69.90","68.90","67.70","66.30","60.50"
"2013","3","경부고속도로","213041","49.70","56.70","55.80","50.30","49.40","47.60","45.00","45.90"
"2013","3","서부간선도로","","","","","","","","",""
"2013","2","강변북로","266197","56.10","64.70","63.80","60.30","55.80","51.30","51.10","54.60"
"2013","2","내부순환로","160383","63.20","64.10","68.40","67.10","64.10","60.30","57.10","57.20"
"2013","2","북부간선도로","105374","64.20","63.70","68.20","63.50","66.40","61.40","62.40","56.90"
"2013","2","올림픽대로","223923","60.10","68.90","66.80","64.00","59.50","56.10","55.60","59.60"
"2013","2","동부간선도로","147588","55.70","58.80","63.00","58.20","57.00","51.00","51.00","51.80"
"2013","2","분당수서고속화도로","128714","65.70","71.90","69.00","69.20","66.70","63.90","60.80","68.30"
"2013","2","경부고속도로","202352","46.20","62.20","56.00","48.60","45.70","40.70","42.50","46.40"
"2013","2","서부간선도로","","","","","","","","",""
"2013","1","북부간선도로","105177","67.80","70.00","68.10","68.30","67.90","68.40","66.10","56.50"
"2013","1","올림픽대로","228461","61.80","73.60","63.80","62.80","61.90","63.40","56.60","60.00"
"2013","1","동부간선도로","145269","57.50","66.80","58.30","58.20","57.70","58.90","53.80","54.00"
"2013","1","분당수서고속화도로","126332","67.60","81.40","67.00","68.90","66.30","69.50","66.30","71.60"
"2013","1","경부고속도로","199451","48.70","63.40","52.20","50.20","49.70","48.70","42.80","50.20"
"2013","1","서부간선도로","","","","","","","","",""
"2013","1","강변북로","263470","58.80","71.30","61.10","59.80","59.30","61.10","52.40","57.00"
"2013","1","내부순환로","153125","65.50","73.00","65.30","67.80","67.40","67.70","58.50","59.00"
"2012","12","내부순환로","152311","60.30","70.60","60.90","59.80","56.00","60.10","64.30","59.40"
"2012","12","강변북로","254985","53.20","69.40","56.30","54.20","43.80","50.80","58.20","56.70"
"2012","12","북부간선도로","100768","61.70","71.10","64.50","65.00","58.90","59.30","59.50","58.00"
"2012","12","올림픽대로","233648","57.30","71.00","59.20","58.50","50.80","56.20","61.10","60.40"
"2012","12","동부간선도로","143543","54.40","64.50","54.90","52.70","51.90","55.00","57.00","54.40"
"2012","12","분당수서고속화도로","123787","62.90","77.80","64.40","63.80","59.00","63.50","62.40","63.30"
"2012","12","경부고속도로","194953","45.80","60.20","46.30","40.30","44.30","46.10","51.10","47.20"
"2012","11","내부순환로","163091","62.90","60.80","65.50","63.40","63.90","62.60","60.10","51.30"
"2012","11","강변북로","276655","56.10","59.80","59.90","57.20","56.70","55.60","52.30","47.80"
"2012","11","북부간선도로","111364","62.80","61.80","64.80","62.70","64.90","64.80","57.40","44.10"
"2012","11","올림픽대로","264849","59.50","62.10","61.60","60.60","60.10","59.30","56.70","51.60"
"2012","11","동부간선도로","156090","55.00","57.60","56.20","54.60","56.50","55.90","52.50","42.90"
"2012","11","분당수서고속화도로","137933","63.20","71.70","64.70","62.60","62.90","63.60","62.20","62.10"
"2012","11","경부고속도로","213964","43.50","46.60","46.70","44.60","43.10","44.00","39.70","39.10"
"2012","10","동부간선도로","154973","56.20","64.00","56.90","56.50","55.90","57.60","54.20","46.90"
"2012","10","내부순환로","158089","65.40","72.20","67.10","67.10","63.70","66.20","62.20","53.00"
"2012","10","강변북로","255003","57.50","67.70","59.20","59.60","56.40","58.40","53.30","45.70"
"2012","10","북부간선도로","112120","63.20","66.00","64.60","63.40","66.70","63.20","58.20","45.50"
"2012","10","올림픽대로","265357","60.70","70.80","62.30","62.70","59.30","61.40","57.50","50.90"
"2012","10","분당수서고속화도로","136165","67.40","84.40","67.20","67.80","66.30","68.50","67.20","64.00"
"2012","10","경부고속도로","216351","47.40","59.30","51.50","50.70","45.20","46.60","42.20","40.20"
"2012","9","내부순환로","158527","61.00","64.60","65.10","60.30","61.50","59.70","58.20","52.60"
"2012","9","강변북로","264607","53.70","65.00","59.00","52.80","54.40","51.10","51.00","49.90"
"2012","9","북부간선도로","111561","61.40","62.20","66.40","60.40","63.00","60.10","57.30","48.10"
"2012","9","올림픽대로","268070","55.20","66.10","58.70","54.40","56.40","53.90","53.10","52.20"
"2012","9","동부간선도로","155483","52.60","57.70","55.30","52.50","52.70","51.70","51.00","45.60"
"2012","9","분당수서고속화도로","138251","60.80","76.10","64.20","59.60","63.10","58.90","57.90","64.10"
"2012","9","경부고속도로","213362","43.10","56.80","48.80","41.90","43.50","40.50","41.00","41.20"
"2012","8","내부순환로","153608","61.80","74.70","64.00","61.00","63.00","61.30","60.20","60.80"
"2012","8","강변북로","265951","52.60","70.30","54.60","54.40","53.10","52.50","49.20","59.80"
"2012","8","북부간선도로","108543","58.00","62.50","57.50","60.90","60.20","58.40","54.10","48.10"
"2012","8","올림픽대로","250310","52.70","65.70","54.40","52.90","53.60","52.70","50.50","57.80"
"2012","8","동부간선도로","150310","53.50","63.70","52.70","55.40","53.60","53.40","52.70","51.80"
"2012","8","분당수서고속화도로","131668","64.40","81.00","64.20","64.60","64.50","65.70","63.10","73.50"
"2012","8","경부고속도로","204657","43.00","60.10","42.40","47.70","42.80","42.10","40.80","51.00"
"2012","7","내부순환로","155602","65.80","77.40","68.20","66.30","68.30","65.90","59.80","62.10"
"2012","7","강변북로","272823","56.50","72.00","60.70","55.40","58.60","56.50","51.20","59.30"
"2012","7","북부간선도로","110201","60.50","61.80","62.40","58.70","65.70","62.60","53.00","47.80"
"2012","7","올림픽대로","255065","58.70","71.50","62.10","58.10","60.80","58.50","53.50","59.90"
"2012","7","동부간선도로","152630","54.40","62.80","57.10","53.00","57.00","53.80","50.40","49.30"
"2012","7","분당수서고속화도로","134756","67.60","82.90","72.50","66.20","68.90","65.90","63.60","75.50"
"2012","7","경부고속도로","208209","43.70","60.60","49.90","41.70","44.70","42.40","38.90","48.00"
"2012","6","내부순환로","159358","65.80","78.10","69.30","65.60","68.60","63.70","62.80","60.20"
"2012","6","강변북로","266430","57.80","72.10","62.00","55.90","60.10","58.00","54.30","56.10"
"2012","6","북부간선도로","113257","61.20","64.80","66.10","60.20","64.00","61.60","56.10","49.10"
"2012","6","올림픽대로","263574","61.10","72.30","65.00","60.20","63.30","60.60","57.50","58.60"
"2012","6","동부간선도로","155928","56.10","65.90","59.60","54.60","57.40","57.10","52.70","48.80"
"2012","6","분당수서고속화도로","138728","66.90","84.10","68.40","66.90","68.00","66.80","64.90","70.50"
"2012","6","경부고속도로","214535","44.50","62.40","49.10","43.20","43.50","44.80","41.90","45.20"
"2012","5","내부순환로","159913","66.00","74.20","67.40","65.50","67.50","68.20","60.90","57.70"
"2012","5","강변북로","267453","57.20","66.60","57.30","58.90","58.20","59.20","51.30","52.30"
"2012","5","북부간선도로","113804","60.60","59.10","61.10","60.80","63.40","63.10","53.10","46.00"
"2012","5","올림픽대로","277710","61.80","69.00","62.60","63.20","62.90","63.00","56.60","56.50"
"2012","5","동부간선도로","158396","57.10","63.50","56.00","57.40","58.50","58.90","53.40","50.60"
"2012","5","분당수서고속화도로","138624","64.70","80.30","62.40","66.40","65.60","65.80","61.80","69.30"
"2012","5","경부고속도로","214996","44.70","59.00","45.30","47.40","45.90","45.10","38.90","45.90"
"2012","4","내부순환로","158181","67.10","75.90","69.30","67.10","66.20","67.10","65.10","59.80"
"2012","4","강변북로","255539","56.60","70.40","60.80","54.50","56.10","57.00","53.30","54.00"
"2012","4","북부간선도로","110980","63.00","67.00","64.50","62.80","64.00","62.80","60.80","50.20"
"2012","4","올림픽대로","271915","62.40","73.50","66.00","61.90","62.10","62.60","58.60","58.40"
"2012","4","동부간선도로","156086","56.60","64.80","58.20","56.70","55.40","57.30","54.30","50.50"
"2012","4","분당수서고속화도로","136605","65.90","83.30","69.40","63.30","63.60","66.60","65.00","69.10"
"2012","4","경부고속도로","211327","44.80","60.30","49.50","43.90","44.20","44.00","41.00","43.60"
"2012","3","내부순환로","155822","68.20","75.20","68.40","70.00","69.90","68.10","65.30","63.40"
"2012","3","강변북로","255933","60.60","71.00","62.30","64.30","61.20","60.50","56.00","58.70"
"2012","3","북부간선도로","108992","66.70","69.80","67.60","68.50","67.30","68.40","62.90","57.20"
"2012","3","올림픽대로","254313","66.60","74.70","67.90","69.20","67.90","67.00","62.30","63.90"
"2012","3","동부간선도로","153620","59.50","66.60","61.60","61.40","59.40","60.70","55.30","53.80"
"2012","3","분당수서고속화도로","134002","65.40","81.70","65.60","65.20","66.60","68.40","62.10","70.70"
"2012","3","경부고속도로","205019","46.50","56.00","50.90","51.30","46.20","46.50","39.30","44.70"
"2012","2","내부순환로","150168","64.90","75.30","66.80","67.50","64.50","64.30","61.50","58.60"
"2012","2","강변북로","250829","56.20","69.80","58.60","58.30","57.00","56.70","50.60","53.90"
"2012","2","북부간선도로","105202","66.30","70.10","66.20","66.20","67.70","68.90","62.00","51.40"
"2012","2","올림픽대로","244147","62.90","74.00","65.10","64.40","63.50","63.10","58.10","59.40"
"2012","2","동부간선도로","150716","57.10","66.00","59.40","56.70","58.80","58.70","51.90","51.10"
"2012","2","분당수서고속화도로","131276","67.20","83.10","68.40","68.30","68.70","67.90","62.80","68.20"
"2012","2","경부고속도로","198941","42.00","56.30","44.40","41.60","46.80","41.60","36.30","43.30"
"2012","1","내부순환로","146912","67.30","70.20","70.10","66.70","69.70","66.10","63.80","67.70"
"2012","1","강변북로","249591","59.10","70.90","62.70","58.50","62.00","56.70","55.30","64.80"
"2012","1","북부간선도로","106221","66.50","67.00","71.10","64.50","69.00","66.30","61.80","58.70"
"2012","1","올림픽대로","244021","64.30","74.90","68.40","63.00","67.00","61.90","61.20","68.90"
"2012","1","동부간선도로","149323","58.30","64.00","62.60","57.70","59.80","55.50","55.90","58.80"
"2012","1","분당수서고속화도로","127587","68.80","79.10","73.00","65.40","72.10","67.10","66.60","75.70"
"2012","1","경부고속도로","197982","44.90","64.20","50.50","43.50","47.90","41.70","40.70","54.70"
